ID,Title,Artists,Album,Release Date,Duration (ms),Popularity,Genre,Parent Genre,Artist Genres,Vegan Focus,Animal Category,Advocacy Style,Advocacy Issues,Lyrical Explicitness,Energy,Danceability,Valence,Tempo,Acousticness,Instrumentalness,Liveness,Speechiness,Loudness,Key,Mode,Time Signature,Explicit,Data Source,Date Added,Spotify ID,Spotify URL,Preview URL,Album Type,Total Tracks,Artist Spotify IDs
15,(I'm Not Coming to Your) BBQ,"Colour Me Wednesday",I Thought It Was Morning,Sat Aug 03 2013 00:00:00 GMT+1000 (Australian Eastern Standard Time),174020,5,folk punk,folk,"folk punk; indie punk; queercore; riot grrrl",,,,,,0.90,0.30,0.20,,,,,,,,,,true,spotify,Tue Jul 22 2025 23:26:46 GMT+1000 (Australian Eastern Standard Time),1K0a9coem00isHpdqzMvvy,https://open.spotify.com/track/1K0a9coem00isHpdqzMvvy,,,12,"46hQz73ArLED9chD48CwoS"
347,...and Their Euglogies Sang Me To Sleep,"The Agonist",Lullabies For The Dormant Mind,Fri Oct 30 2009 00:00:00 GMT+1100 (Australian Eastern Daylight Time),212373,34,death metal,metal,"death metal; melodic death metal; metal; metalcore",,,,,,0.90,0.30,0.20,,,,,,,,,,,spotify,Tue Jul 22 2025 23:26:48 GMT+1000 (Australian Eastern Standard Time),3RV9JWf5jre5edwNvTgCxI,https://open.spotify.com/track/3RV9JWf5jre5edwNvTgCxI,,,11,"3NrGqWwh6dKk99v1UFqQak"
74,10.000 Tränen,"Berge",Vor uns die Sinnflut,Fri Jun 05 2015 00:00:00 GMT+1000 (Australian Eastern Standard Time),223226,34,german pop,pop,"german pop",,,,,,0.70,0.60,0.70,,,,,,,,,,,spotify,Tue Jul 22 2025 23:26:46 GMT+1000 (Australian Eastern Standard Time),66otoJzmS0JdpEOE1S8ZOe,https://open.spotify.com/track/66otoJzmS0JdpEOE1S8ZOe,,,12,"3ltKp0avmVSfjIvcn4dXcH"
513,110 Days,"ECOWAR",Toothfish,Thu Aug 23 2018 00:00:00 GMT+1000 (Australian Eastern Standard Time),185782,,,,,,,,,,0.50,0.50,0.50,,,,,,,,,,,spotify,Tue Jul 22 2025 23:26:48 GMT+1000 (Australian Eastern Standard Time),072ALoE69KSVGPPr7yMWDB,https://open.spotify.com/track/072ALoE69KSVGPPr7yMWDB,,,5,"0cOMotBsCyH5Q0jLywyV9B"
2595,20 Vegan Commandments,"TK the Artist",The Color Green,Mon Feb 10 2020 00:00:00 GMT+1100 (Australian Eastern Daylight Time),258037,3,,,,,,,,,0.50,0.50,0.50,,,,,,,,,,,spotify,Wed Jul 30 2025 20:28:05 GMT+1000 (Australian Eastern Standard Time),3Iuw9binBK6lc493btGzd8,https://open.spotify.com/track/3Iuw9binBK6lc493btGzd8,,,9,"2j6885MH2BU17WqlXePrms"
299,24 HourHate,"Maroon",When Worlds Collide,Thu Jul 13 2006 00:00:00 GMT+1000 (Australian Eastern Standard Time),225133,14,deathcore,metal,"deathcore; hardcore; metalcore",,,,,,0.90,0.30,0.20,,,,,,,,,,,spotify,Tue Jul 22 2025 23:26:48 GMT+1000 (Australian Eastern Standard Time),3k5KFYMsmA6AurXMTJ3ITm,https://open.spotify.com/track/3k5KFYMsmA6AurXMTJ3ITm,,,13,"7v1NlLtP82T0FMIrE9gvu4"
56,40-Year-Old Vegan,"Chokeules",Stay Up,Fri Jul 11 2014 00:00:00 GMT+1000 (Australian Eastern Standard Time),157733,10,,,,,,,,,0.50,0.50,0.50,,,,,,,,,,,spotify,Tue Jul 22 2025 23:26:46 GMT+1000 (Australian Eastern Standard Time),5NMV44UhqZi6Vf2YbsqIOv,https://open.spotify.com/track/5NMV44UhqZi6Vf2YbsqIOv,,,14,"2YufezgBubs27rKYSKJjDx"
2594,44 Bars for the World,"Time",These Songs Kill Fascists,Fri Mar 27 2020 00:00:00 GMT+1100 (Australian Eastern Daylight Time),149586,3,,,,,,,,,0.50,0.50,0.50,,,,,,,,,,true,spotify,Wed Jul 30 2025 20:28:05 GMT+1000 (Australian Eastern Standard Time),56RpJFw4oaZMRSuLchg3XA,https://open.spotify.com/track/56RpJFw4oaZMRSuLchg3XA,,,12,"5y0l8CY7blYZc1Kjc3dzJe"
237,5 Reasons (feat. Silencer),"Kyle O'Sullivan; SilencER",5 Reasons (feat. Silencer),Sat Feb 24 2018 00:00:00 GMT+1100 (Australian Eastern Daylight Time),208791,,,,,,,,,,0.50,0.50,0.50,,,,,,,,,,true,spotify,Tue Jul 22 2025 23:26:47 GMT+1000 (Australian Eastern Standard Time),46CdfZmjL7wxJ0c86zmk7i,https://open.spotify.com/track/46CdfZmjL7wxJ0c86zmk7i,,,1,"4ZyBsYjrsunQHpn4xG6VZW; 5vf15LzWpQhwccel0PblHb"
183,A Better Way,"Ecostrike",A Truth We Still Believe,Fri Jul 24 2020 00:00:00 GMT+1000 (Australian Eastern Standard Time),128208,,hardcore,hardcore,"hardcore; hardcore punk",,,,,,0.90,0.30,0.20,,,,,,,,,,,spotify,Tue Jul 22 2025 23:26:47 GMT+1000 (Australian Eastern Standard Time),6wxmYZSNgwYkT7DBBIMDWc,https://open.spotify.com/track/6wxmYZSNgwYkT7DBBIMDWc,,,9,"7gsU5ATbHG1pMPol8MID9R"
